prs,sp_name,linkage_name,temp_file
defef,"free_buffer",_ZN6parlay17sequence_internal13sequence_baseINS_8sequenceISt4pairIPcmENS_9allocatorIS5_EELb0EEENS6_IS8_EELb0EE12storage_impl18capacitated_buffer11free_bufferERNS6_ISt4byteEE,./parlay/internal/sequence_base.h
defef,"flatten<std::pair<char *, unsigned long> >",_ZN6parlay7flattenISt4pairIPcmEEEDaONS_8sequenceINS4_IT_NS_9allocatorIS5_EEXsr3std7is_sameIS5_cEE5valueEEENS6_IS8_EEXsr3std7is_sameIS8_cEE5valueEEE,./parlay/primitives.h
defef,"deallocate",_ZN6parlay9allocatorIPcE10deallocateEPS1_m,./parlay/internal/../alloc.h
defef,"parallel_for<(lambda at ./parlay/sequence.h:515:24)>",_ZN6parlay12parallel_forIZNS_8sequenceISt4pairINS1_IcNS_9allocatorIcEELb1EEEmENS3_IS6_EELb0EEC1IZ10wordCountsRKS5_bE3$_5EEmOT_NS8_18_from_function_tagEmEUlmE_EEvmmSD_lb,./parlay/internal/scheduler_plugins/opencilk.h
defef,"parallel_for<(lambda at ./parlay/internal/sequence_base.h:192:28)>",_ZN6parlay12parallel_forIZNS_17sequence_internal13sequence_baseISt4pairINS_8sequenceIcNS_9allocatorIcEELb1EEEmENS5_IS8_EELb0EE12storage_impl11destroy_allEvEUlmE_EEvmmT_lb,./parlay/internal/scheduler_plugins/opencilk.h
defef,"free_buffer",_ZN6parlay17sequence_internal13sequence_baseISt4pairINS_8sequenceIcNS_9allocatorIcEELb1EEEmENS4_IS7_EELb0EE12storage_impl18capacitated_buffer11free_bufferERNS4_ISt4byteEE,./parlay/internal/sequence_base.h
defef,"~sequence_base",_ZN6parlay17sequence_internal13sequence_baseISt4pairINS_8sequenceIcNS_9allocatorIcEELb1EEEmENS4_IS7_EELb0EED2Ev,./parlay/internal/sequence_base.h
defef,"~sequence_base",_ZN6parlay17sequence_internal13sequence_baseISt4pairIPcmENS_9allocatorIS4_EELb0EED2Ev,./parlay/internal/sequence_base.h
defef,"~sequence_base",_ZN6parlay17sequence_internal13sequence_baseIPcNS_9allocatorIS2_EELb0EED2Ev,./parlay/internal/sequence_base.h
both,"~sequence_base",_ZN6parlay17sequence_internal13sequence_baseIcNS_9allocatorIcEELb1EED2Ev,./parlay/internal/sequence_base.h
